date,estimate_type,tenure,private_dwellings
31 Mar 1991,as at,total,1301700
30 Jun 1991,as at,total,1307000
30 Sep 1991,as at,total,1310700
31 Dec 1991,as at,total,1314500
31 Mar 1992,as at,total,1318600
30 Jun 1992,as at,total,1322900
30 Sep 1992,as at,total,1326600
31 Dec 1992,as at,total,1330600
31 Mar 1993,as at,total,1334500
30 Jun 1993,as at,total,1339000
30 Sep 1993,as at,total,1342800
31 Dec 1993,as at,total,1347000
31 Mar 1994,as at,total,1351500
30 Jun 1994,as at,total,1356000
30 Sep 1994,as at,total,1360400
31 Dec 1994,as at,total,1365400
31 Mar 1995,as at,total,1371100
30 Jun 1995,as at,total,1376900
30 Sep 1995,as at,total,1381900
31 Dec 1995,as at,total,1386500
31 Mar 1996,as at,total,1391200
30 Jun 1996,as at,total,1396800
30 Sep 1996,as at,total,1402500
31 Dec 1996,as at,total,1408600
31 Mar 1997,as at,total,1414100
30 Jun 1997,as at,total,1419900
30 Sep 1997,as at,total,1425200
31 Dec 1997,as at,total,1431500
31 Mar 1998,as at,total,1438700
30 Jun 1998,as at,total,1445300
30 Sep 1998,as at,total,1451100
31 Dec 1998,as at,total,1456000
31 Mar 1999,as at,total,1460900
30 Jun 1999,as at,total,1466300
30 Sep 1999,as at,total,1472100
31 Dec 1999,as at,total,1478900
31 Mar 2000,as at,total,1486600
30 Jun 2000,as at,total,1493000
30 Sep 2000,as at,total,1498300
31 Dec 2000,as at,total,1503400
31 Mar 2001,as at,total,1508600
30 Jun 2001,as at,total,1512800
30 Sep 2001,as at,total,1517000
31 Dec 2001,as at,total,1521800
31 Mar 2002,as at,total,1526800
30 Jun 2002,as at,total,1532000
30 Sep 2002,as at,total,1536900
31 Dec 2002,as at,total,1542800
31 Mar 2003,as at,total,1549600
30 Jun 2003,as at,total,1557400
30 Sep 2003,as at,total,1563300
31 Dec 2003,as at,total,1569900
31 Mar 2004,as at,total,1577700
30 Jun 2004,as at,total,1585300
30 Sep 2004,as at,total,1593000
31 Dec 2004,as at,total,1600900
31 Mar 2005,as at,total,1607400
30 Jun 2005,as at,total,1614600
30 Sep 2005,as at,total,1621200
31 Dec 2005,as at,total,1626500
31 Mar 2006,as at,total,1632600
30 Jun 2006,as at,total,1638400
30 Sep 2006,as at,total,1644000
31 Dec 2006,as at,total,1649200
31 Mar 2007,as at,total,1655400
30 Jun 2007,as at,total,1661100
30 Sep 2007,as at,total,1666500
31 Dec 2007,as at,total,1672400
31 Mar 2008,as at,total,1678200
30 Jun 2008,as at,total,1683500
30 Sep 2008,as at,total,1688000
31 Dec 2008,as at,total,1692700
31 Mar 2009,as at,total,1696600
30 Jun 2009,as at,total,1699600
30 Sep 2009,as at,total,1702200
31 Dec 2009,as at,total,1705100
31 Mar 2010,as at,total,1708500
30 Jun 2010,as at,total,1712200
30 Sep 2010,as at,total,1715600
31 Dec 2010,as at,total,1719300
31 Mar 2011,as at,total,1722700
30 Jun 2011,as at,total,1725900
30 Sep 2011,as at,total,1728400
31 Dec 2011,as at,total,1731100
31 Mar 2012,as at,total,1734500
30 Jun 2012,as at,total,1737800
30 Sep 2012,as at,total,1741200
31 Dec 2012,as at,total,1744600
31 Mar 2013,as at,total,1749400
30 Jun 2013,as at,total,1753300
30 Sep 2013,as at,total,1757000
31 Dec 2013,as at,total,1761400
31 Mar 2014,as at,total,1766000
30 Jun 2014,as at,total,1771100
30 Sep 2014,as at,total,1775700
31 Dec 2014,as at,total,1780800
31 Mar 2015,as at,total,1786100
30 Jun 2015,as at,total,1791800
30 Sep 2015,as at,total,1796600
31 Dec 2015,as at,total,1801900
31 Mar 2016,as at,total,1808000
30 Jun 2016,as at,total,1814500
30 Sep 2016,as at,total,1819800
31 Dec 2016,as at,total,1826200
31 Mar 2017,as at,total,1833100
30 Jun 2017,as at,total,1839600
30 Sep 2017,as at,total,1845400
31 Dec 2017,as at,total,1851600
31 Mar 2018,as at,total,1858200
30 Jun 2018,as at,total,1866100
30 Sep 2018,as at,total,1873300
31 Dec 2018,as at,total,1879900
31 Mar 2019,as at,total,1888100
30 Jun 2019,as at,total,1895700
30 Sep 2019,as at,total,1903400
31 Dec 2019,as at,total,1911400
31 Mar 2020,as at,total,1919800
30 Jun 2020,as at,total,1928900
30 Sep 2020,as at,total,1937600
31 Dec 2020,as at,total,1945600
31 Mar 2021,as at,total,1954000
30 Jun 2021,as at,total,1963200
30 Sep 2021,as at,total,1973500
31 Mar 1991,as at,owner_occupied,960300
30 Jun 1991,as at,owner_occupied,962100
30 Sep 1991,as at,owner_occupied,962700
31 Dec 1991,as at,owner_occupied,963500
31 Mar 1992,as at,owner_occupied,964500
30 Jun 1992,as at,owner_occupied,965500
30 Sep 1992,as at,owner_occupied,966100
31 Dec 1992,as at,owner_occupied,966900
31 Mar 1993,as at,owner_occupied,967700
30 Jun 1993,as at,owner_occupied,968900
30 Sep 1993,as at,owner_occupied,969500
31 Dec 1993,as at,owner_occupied,970400
31 Mar 1994,as at,owner_occupied,971600
30 Jun 1994,as at,owner_occupied,972700
30 Sep 1994,as at,owner_occupied,973700
31 Dec 1994,as at,owner_occupied,975200
31 Mar 1995,as at,owner_occupied,977100
30 Jun 1995,as at,owner_occupied,979100
30 Sep 1995,as at,owner_occupied,980400
31 Dec 1995,as at,owner_occupied,981500
31 Mar 1996,as at,owner_occupied,982700
30 Jun 1996,as at,owner_occupied,984700
30 Sep 1996,as at,owner_occupied,986700
31 Dec 1996,as at,owner_occupied,988900
31 Mar 1997,as at,owner_occupied,990800
30 Jun 1997,as at,owner_occupied,992900
30 Sep 1997,as at,owner_occupied,994500
31 Dec 1997,as at,owner_occupied,996800
31 Mar 1998,as at,owner_occupied,999900
30 Jun 1998,as at,owner_occupied,1002400
30 Sep 1998,as at,owner_occupied,1004300
31 Dec 1998,as at,owner_occupied,1005600
31 Mar 1999,as at,owner_occupied,1006900
30 Jun 1999,as at,owner_occupied,1008500
30 Sep 1999,as at,owner_occupied,1010400
31 Dec 1999,as at,owner_occupied,1013000
31 Mar 2000,as at,owner_occupied,1016100
30 Jun 2000,as at,owner_occupied,1018300
30 Sep 2000,as at,owner_occupied,1019800
31 Dec 2000,as at,owner_occupied,1021100
31 Mar 2001,as at,owner_occupied,1022900
30 Jun 2001,as at,owner_occupied,1025100
30 Sep 2001,as at,owner_occupied,1027200
31 Dec 2001,as at,owner_occupied,1029600
31 Mar 2002,as at,owner_occupied,1032300
30 Jun 2002,as at,owner_occupied,1035100
30 Sep 2002,as at,owner_occupied,1037700
31 Dec 2002,as at,owner_occupied,1040900
31 Mar 2003,as at,owner_occupied,1044800
30 Jun 2003,as at,owner_occupied,1049300
30 Sep 2003,as at,owner_occupied,1052500
31 Dec 2003,as at,owner_occupied,1056200
31 Mar 2004,as at,owner_occupied,1060700
30 Jun 2004,as at,owner_occupied,1065000
30 Sep 2004,as at,owner_occupied,1069400
31 Dec 2004,as at,owner_occupied,1074000
31 Mar 2005,as at,owner_occupied,1077600
30 Jun 2005,as at,owner_occupied,1081600
30 Sep 2005,as at,owner_occupied,1085300
31 Dec 2005,as at,owner_occupied,1088100
31 Mar 2006,as at,owner_occupied,1091200
30 Jun 2006,as at,owner_occupied,1093900
30 Sep 2006,as at,owner_occupied,1096400
31 Dec 2006,as at,owner_occupied,1098600
31 Mar 2007,as at,owner_occupied,1101500
30 Jun 2007,as at,owner_occupied,1104000
30 Sep 2007,as at,owner_occupied,1106400
31 Dec 2007,as at,owner_occupied,1109000
31 Mar 2008,as at,owner_occupied,1111600
30 Jun 2008,as at,owner_occupied,1113800
30 Sep 2008,as at,owner_occupied,1115500
31 Dec 2008,as at,owner_occupied,1117400
31 Mar 2009,as at,owner_occupied,1118600
30 Jun 2009,as at,owner_occupied,1119400
30 Sep 2009,as at,owner_occupied,1119800
31 Dec 2009,as at,owner_occupied,1120400
31 Mar 2010,as at,owner_occupied,1121300
30 Jun 2010,as at,owner_occupied,1122500
30 Sep 2010,as at,owner_occupied,1123500
31 Dec 2010,as at,owner_occupied,1124500
31 Mar 2011,as at,owner_occupied,1125500
30 Jun 2011,as at,owner_occupied,1126300
30 Sep 2011,as at,owner_occupied,1126600
31 Dec 2011,as at,owner_occupied,1127000
31 Mar 2012,as at,owner_occupied,1128000
30 Jun 2012,as at,owner_occupied,1128800
30 Sep 2012,as at,owner_occupied,1129700
31 Dec 2012,as at,owner_occupied,1130600
31 Mar 2013,as at,owner_occupied,1132700
30 Jun 2013,as at,owner_occupied,1135100
30 Sep 2013,as at,owner_occupied,1137200
31 Dec 2013,as at,owner_occupied,1139900
31 Mar 2014,as at,owner_occupied,1142700
30 Jun 2014,as at,owner_occupied,1145900
30 Sep 2014,as at,owner_occupied,1148600
31 Dec 2014,as at,owner_occupied,1151800
31 Mar 2015,as at,owner_occupied,1155000
30 Jun 2015,as at,owner_occupied,1158500
30 Sep 2015,as at,owner_occupied,1161400
31 Dec 2015,as at,owner_occupied,1164600
31 Mar 2016,as at,owner_occupied,1168400
30 Jun 2016,as at,owner_occupied,1172400
30 Sep 2016,as at,owner_occupied,1175600
31 Dec 2016,as at,owner_occupied,1179600
31 Mar 2017,as at,owner_occupied,1183800
30 Jun 2017,as at,owner_occupied,1187800
30 Sep 2017,as at,owner_occupied,1191400
31 Dec 2017,as at,owner_occupied,1195200
31 Mar 2018,as at,owner_occupied,1199300
30 Jun 2018,as at,owner_occupied,1204400
30 Sep 2018,as at,owner_occupied,1209100
31 Dec 2018,as at,owner_occupied,1213400
31 Mar 2019,as at,owner_occupied,1218600
30 Jun 2019,as at,owner_occupied,1223500
30 Sep 2019,as at,owner_occupied,1228500
31 Dec 2019,as at,owner_occupied,1233600
31 Mar 2020,as at,owner_occupied,1239100
30 Jun 2020,as at,owner_occupied,1245000
30 Sep 2020,as at,owner_occupied,1250600
31 Dec 2020,as at,owner_occupied,1255800
31 Mar 2021,as at,owner_occupied,1261200
30 Jun 2021,as at,owner_occupied,1267100
30 Sep 2021,as at,owner_occupied,1273800
31 Mar 1991,as at,rented,298500
30 Jun 1991,as at,rented,301300
30 Sep 1991,as at,rented,303700
31 Dec 1991,as at,rented,306300
31 Mar 1992,as at,rented,308800
30 Jun 1992,as at,rented,311400
30 Sep 1992,as at,rented,314000
31 Dec 1992,as at,rented,316500
31 Mar 1993,as at,rented,319100
30 Jun 1993,as at,rented,321800
30 Sep 1993,as at,rented,324400
31 Dec 1993,as at,rented,327100
31 Mar 1994,as at,rented,329800
30 Jun 1994,as at,rented,332600
30 Sep 1994,as at,rented,335300
31 Dec 1994,as at,rented,338300
31 Mar 1995,as at,rented,341300
30 Jun 1995,as at,rented,344500
30 Sep 1995,as at,rented,347400
31 Dec 1995,as at,rented,350300
31 Mar 1996,as at,rented,353400
30 Jun 1996,as at,rented,357400
30 Sep 1996,as at,rented,361500
31 Dec 1996,as at,rented,365700
31 Mar 1997,as at,rented,369700
30 Jun 1997,as at,rented,373800
30 Sep 1997,as at,rented,377900
31 Dec 1997,as at,rented,382200
31 Mar 1998,as at,rented,386800
30 Jun 1998,as at,rented,391200
30 Sep 1998,as at,rented,395500
31 Dec 1998,as at,rented,399600
31 Mar 1999,as at,rented,403600
30 Jun 1999,as at,rented,407800
30 Sep 1999,as at,rented,412100
31 Dec 1999,as at,rented,416800
31 Mar 2000,as at,rented,421700
30 Jun 2000,as at,rented,426300
30 Sep 2000,as at,rented,430600
31 Dec 2000,as at,rented,434900
31 Mar 2001,as at,rented,438300
30 Jun 2001,as at,rented,439400
30 Sep 2001,as at,rented,440500
31 Dec 2001,as at,rented,441700
31 Mar 2002,as at,rented,443000
30 Jun 2002,as at,rented,444400
30 Sep 2002,as at,rented,445700
31 Dec 2002,as at,rented,447200
31 Mar 2003,as at,rented,449100
30 Jun 2003,as at,rented,451200
30 Sep 2003,as at,rented,452800
31 Dec 2003,as at,rented,454500
31 Mar 2004,as at,rented,456600
30 Jun 2004,as at,rented,458700
30 Sep 2004,as at,rented,460800
31 Dec 2004,as at,rented,462900
31 Mar 2005,as at,rented,464600
30 Jun 2005,as at,rented,466600
30 Sep 2005,as at,rented,468300
31 Dec 2005,as at,rented,469700
31 Mar 2006,as at,rented,471800
30 Jun 2006,as at,rented,475000
30 Sep 2006,as at,rented,478200
31 Dec 2006,as at,rented,481200
31 Mar 2007,as at,rented,484600
30 Jun 2007,as at,rented,487800
30 Sep 2007,as at,rented,491000
31 Dec 2007,as at,rented,494300
31 Mar 2008,as at,rented,497600
30 Jun 2008,as at,rented,500700
30 Sep 2008,as at,rented,503700
31 Dec 2008,as at,rented,506700
31 Mar 2009,as at,rented,509400
30 Jun 2009,as at,rented,511900
30 Sep 2009,as at,rented,514300
31 Dec 2009,as at,rented,516800
31 Mar 2010,as at,rented,519400
30 Jun 2010,as at,rented,522100
30 Sep 2010,as at,rented,524800
31 Dec 2010,as at,rented,527500
31 Mar 2011,as at,rented,530200
30 Jun 2011,as at,rented,532800
30 Sep 2011,as at,rented,535200
31 Dec 2011,as at,rented,537700
31 Mar 2012,as at,rented,540400
30 Jun 2012,as at,rented,543000
30 Sep 2012,as at,rented,545700
31 Dec 2012,as at,rented,548400
31 Mar 2013,as at,rented,551200
30 Jun 2013,as at,rented,552900
30 Sep 2013,as at,rented,554500
31 Dec 2013,as at,rented,556400
31 Mar 2014,as at,rented,558300
30 Jun 2014,as at,rented,560400
30 Sep 2014,as at,rented,562300
31 Dec 2014,as at,rented,564400
31 Mar 2015,as at,rented,566600
30 Jun 2015,as at,rented,568800
30 Sep 2015,as at,rented,570800
31 Dec 2015,as at,rented,573000
31 Mar 2016,as at,rented,575400
30 Jun 2016,as at,rented,578000
30 Sep 2016,as at,rented,580100
31 Dec 2016,as at,rented,582700
31 Mar 2017,as at,rented,585300
30 Jun 2017,as at,rented,587900
30 Sep 2017,as at,rented,590300
31 Dec 2017,as at,rented,592700
31 Mar 2018,as at,rented,595200
30 Jun 2018,as at,rented,597700
30 Sep 2018,as at,rented,600000
31 Dec 2018,as at,rented,602200
31 Mar 2019,as at,rented,604800
30 Jun 2019,as at,rented,607200
30 Sep 2019,as at,rented,609700
31 Dec 2019,as at,rented,612200
31 Mar 2020,as at,rented,614900
30 Jun 2020,as at,rented,617800
30 Sep 2020,as at,rented,620600
31 Dec 2020,as at,rented,623200
31 Mar 2021,as at,rented,625900
30 Jun 2021,as at,rented,628800
30 Sep 2021,as at,rented,632100
31 Mar 1991,as at,free,43000
30 Jun 1991,as at,free,43600
30 Sep 1991,as at,free,44200
31 Dec 1991,as at,free,44800
31 Mar 1992,as at,free,45300
30 Jun 1992,as at,free,45900
30 Sep 1992,as at,free,46500
31 Dec 1992,as at,free,47100
31 Mar 1993,as at,free,47700
30 Jun 1993,as at,free,48300
30 Sep 1993,as at,free,48900
31 Dec 1993,as at,free,49500
31 Mar 1994,as at,free,50100
30 Jun 1994,as at,free,50700
30 Sep 1994,as at,free,51400
31 Dec 1994,as at,free,52000
31 Mar 1995,as at,free,52700
30 Jun 1995,as at,free,53400
30 Sep 1995,as at,free,54000
31 Dec 1995,as at,free,54700
31 Mar 1996,as at,free,55000
30 Jun 1996,as at,free,54700
30 Sep 1996,as at,free,54300
31 Dec 1996,as at,free,53900
31 Mar 1997,as at,free,53600
30 Jun 1997,as at,free,53200
30 Sep 1997,as at,free,52800
31 Dec 1997,as at,free,52400
31 Mar 1998,as at,free,52100
30 Jun 1998,as at,free,51700
30 Sep 1998,as at,free,51300
31 Dec 1998,as at,free,50900
31 Mar 1999,as at,free,50400
30 Jun 1999,as at,free,50000
30 Sep 1999,as at,free,49600
31 Dec 1999,as at,free,49200
31 Mar 2000,as at,free,48800
30 Jun 2000,as at,free,48400
30 Sep 2000,as at,free,47900
31 Dec 2000,as at,free,47400
31 Mar 2001,as at,free,47400
30 Jun 2001,as at,free,48400
30 Sep 2001,as at,free,49400
31 Dec 2001,as at,free,50400
31 Mar 2002,as at,free,51400
30 Jun 2002,as at,free,52500
30 Sep 2002,as at,free,53500
31 Dec 2002,as at,free,54600
31 Mar 2003,as at,free,55700
30 Jun 2003,as at,free,56900
30 Sep 2003,as at,free,58000
31 Dec 2003,as at,free,59200
31 Mar 2004,as at,free,60400
30 Jun 2004,as at,free,61500
30 Sep 2004,as at,free,62800
31 Dec 2004,as at,free,64000
31 Mar 2005,as at,free,65200
30 Jun 2005,as at,free,66400
30 Sep 2005,as at,free,67600
31 Dec 2005,as at,free,68700
31 Mar 2006,as at,free,69600
30 Jun 2006,as at,free,69500
30 Sep 2006,as at,free,69400
31 Dec 2006,as at,free,69400
31 Mar 2007,as at,free,69300
30 Jun 2007,as at,free,69200
30 Sep 2007,as at,free,69200
31 Dec 2007,as at,free,69100
31 Mar 2008,as at,free,69000
30 Jun 2008,as at,free,68900
30 Sep 2008,as at,free,68800
31 Dec 2008,as at,free,68700
31 Mar 2009,as at,free,68500
30 Jun 2009,as at,free,68300
30 Sep 2009,as at,free,68100
31 Dec 2009,as at,free,67900
31 Mar 2010,as at,free,67700
30 Jun 2010,as at,free,67600
30 Sep 2010,as at,free,67400
31 Dec 2010,as at,free,67200
31 Mar 2011,as at,free,67000
30 Jun 2011,as at,free,66800
30 Sep 2011,as at,free,66600
31 Dec 2011,as at,free,66400
31 Mar 2012,as at,free,66200
30 Jun 2012,as at,free,66000
30 Sep 2012,as at,free,65800
31 Dec 2012,as at,free,65600
31 Mar 2013,as at,free,65500
30 Jun 2013,as at,free,65300
30 Sep 2013,as at,free,65200
31 Dec 2013,as at,free,65100
31 Mar 2014,as at,free,65000
30 Jun 2014,as at,free,64900
30 Sep 2014,as at,free,64700
31 Dec 2014,as at,free,64600
31 Mar 2015,as at,free,64600
30 Jun 2015,as at,free,64500
30 Sep 2015,as at,free,64400
31 Dec 2015,as at,free,64300
31 Mar 2016,as at,free,64200
30 Jun 2016,as at,free,64100
30 Sep 2016,as at,free,64000
31 Dec 2016,as at,free,64000
31 Mar 2017,as at,free,63900
30 Jun 2017,as at,free,63800
30 Sep 2017,as at,free,63700
31 Dec 2017,as at,free,63700
31 Mar 2018,as at,free,63700
30 Jun 2018,as at,free,63900
30 Sep 2018,as at,free,64200
31 Dec 2018,as at,free,64400
31 Mar 2019,as at,free,64700
30 Jun 2019,as at,free,65000
30 Sep 2019,as at,free,65200
31 Dec 2019,as at,free,65500
31 Mar 2020,as at,free,65800
30 Jun 2020,as at,free,66100
30 Sep 2020,as at,free,66400
31 Dec 2020,as at,free,66700
31 Mar 2021,as at,free,67000
30 Jun 2021,as at,free,67300
30 Sep 2021,as at,free,67600
31 Mar 1991,mean year ended,total,NA
30 Jun 1991,mean year ended,total,NA
30 Sep 1991,mean year ended,total,NA
31 Dec 1991,mean year ended,total,NA
31 Mar 1992,mean year ended,total,1310600
30 Jun 1992,mean year ended,total,1314700
30 Sep 1992,mean year ended,total,1318700
31 Dec 1992,mean year ended,total,1322700
31 Mar 1993,mean year ended,total,1326600
30 Jun 1993,mean year ended,total,1330600
30 Sep 1993,mean year ended,total,1334700
31 Dec 1993,mean year ended,total,1338800
31 Mar 1994,mean year ended,total,1342900
30 Jun 1994,mean year ended,total,1347200
30 Sep 1994,mean year ended,total,1351500
31 Dec 1994,mean year ended,total,1356000
31 Mar 1995,mean year ended,total,1360800
30 Jun 1995,mean year ended,total,1365800
30 Sep 1995,mean year ended,total,1371100
31 Dec 1995,mean year ended,total,1376500
31 Mar 1996,mean year ended,total,1381600
30 Jun 1996,mean year ended,total,1386600
30 Sep 1996,mean year ended,total,1391700
31 Dec 1996,mean year ended,total,1397000
31 Mar 1997,mean year ended,total,1402600
30 Jun 1997,mean year ended,total,1408400
30 Sep 1997,mean year ended,total,1414100
31 Dec 1997,mean year ended,total,1419800
31 Mar 1998,mean year ended,total,1425800
30 Jun 1998,mean year ended,total,1432000
30 Sep 1998,mean year ended,total,1438400
31 Dec 1998,mean year ended,total,1444700
31 Mar 1999,mean year ended,total,1450600
30 Jun 1999,mean year ended,total,1456000
30 Sep 1999,mean year ended,total,1461200
31 Dec 1999,mean year ended,total,1466700
31 Mar 2000,mean year ended,total,1472800
30 Jun 2000,mean year ended,total,1479300
30 Sep 2000,mean year ended,total,1485900
31 Dec 2000,mean year ended,total,1492300
31 Mar 2001,mean year ended,total,1498100
30 Jun 2001,mean year ended,total,1503300
30 Sep 2001,mean year ended,total,1508100
31 Dec 2001,mean year ended,total,1512800
31 Mar 2002,mean year ended,total,1517300
30 Jun 2002,mean year ended,total,1522000
30 Sep 2002,mean year ended,total,1526900
31 Dec 2002,mean year ended,total,1532000
31 Mar 2003,mean year ended,total,1537500
30 Jun 2003,mean year ended,total,1543500
30 Sep 2003,mean year ended,total,1550000
31 Dec 2003,mean year ended,total,1556600
31 Mar 2004,mean year ended,total,1563500
30 Jun 2004,mean year ended,total,1570500
30 Sep 2004,mean year ended,total,1577700
31 Dec 2004,mean year ended,total,1585300
31 Mar 2005,mean year ended,total,1592900
30 Jun 2005,mean year ended,total,1600300
30 Sep 2005,mean year ended,total,1607500
31 Dec 2005,mean year ended,total,1614200
31 Mar 2006,mean year ended,total,1620600
30 Jun 2006,mean year ended,total,1626700
30 Sep 2006,mean year ended,total,1632500
31 Dec 2006,mean year ended,total,1638200
31 Mar 2007,mean year ended,total,1643900
30 Jun 2007,mean year ended,total,1649600
30 Sep 2007,mean year ended,total,1655200
31 Dec 2007,mean year ended,total,1660900
31 Mar 2008,mean year ended,total,1666700
30 Jun 2008,mean year ended,total,1672300
30 Sep 2008,mean year ended,total,1677800
31 Dec 2008,mean year ended,total,1683000
31 Mar 2009,mean year ended,total,1687900
30 Jun 2009,mean year ended,total,1692200
30 Sep 2009,mean year ended,total,1696000
31 Dec 2009,mean year ended,total,1699300
31 Mar 2010,mean year ended,total,1702400
30 Jun 2010,mean year ended,total,1705400
30 Sep 2010,mean year ended,total,1708700
31 Dec 2010,mean year ended,total,1712100
31 Mar 2011,mean year ended,total,1715700
30 Jun 2011,mean year ended,total,1719200
30 Sep 2011,mean year ended,total,1722500
31 Dec 2011,mean year ended,total,1725500
31 Mar 2012,mean year ended,total,1728500
30 Jun 2012,mean year ended,total,1731500
30 Sep 2012,mean year ended,total,1734600
31 Dec 2012,mean year ended,total,1737800
31 Mar 2013,mean year ended,total,1741400
